f1	f2	t
2.13	8.15	1
1.88	-1.33	0
1.84	0.47	0
2.02	2.78	1
2.04	9.65	1
2.30	1.32	1
2.29	-3.48	1
1.94	7.77	1
1.79	-0.06	0
1.58	-3.00	0
2.12	4.38	1
1.85	-1.24	0
1.60	1.57	0
1.40	-4.64	0
1.99	5.20	1
2.10	5.38	1
1.72	1.75	0
1.69	-0.48	0
1.69	1.58	0
2.24	-9.00	1
2.15	-2.27	1
2.12	1.17	1
1.88	0.85	0
2.28	3.28	1
2.85	0.72	1
2.70	3.14	1
2.00	4.82	1
1.73	2.51	0
1.57	-1.39	0
1.42	4.08	0
1.90	-7.29	1
2.00	7.48	1
2.53	4.90	1
2.02	1.53	1
2.79	3.61	1
2.46	-2.89	1
1.87	-5.21	0
1.86	2.31	0
2.18	6.16	1
2.48	4.11	1
2.48	-2.61	1
2.10	3.20	1
1.90	1.75	1
1.50	12.19	0
1.81	0.26	0
2.03	1.97	1
2.08	4.20	1
1.31	4.10	0
1.62	0.89	0
1.69	3.32	0
1.50	-0.63	0
1.95	2.31	1
2.17	-0.12	1
1.55	-0.62	0
2.95	5.79	1
2.03	-5.00	1
1.97	4.63	1
1.75	2.45	0
1.70	-5.88	0
2.41	2.80	1
1.97	-0.83	1
1.70	3.54	0
2.25	-1.82	1
1.38	8.64	0
1.97	4.09	1
1.21	-0.15	0
2.21	6.63	1
2.61	5.00	1
1.59	2.19	0
1.84	0.36	0
1.78	8.55	0
1.61	4.36	0
1.81	-9.00	0
1.61	-3.85	0
1.78	-2.27	0
2.39	7.27	1
1.78	0.81	0
2.42	2.94	1
2.02	6.91	1
1.55	5.51	0
2.29	6.73	1
2.17	0.03	1
2.22	-2.14	1
2.03	0.70	1
2.70	-1.47	1
1.89	-3.39	0
1.75	2.83	0
1.78	-0.31	0
2.46	-2.17	1
2.41	4.89	1
1.59	-0.46	0
1.42	5.61	0
1.46	5.45	0
1.83	7.53	0
2.86	2.25	1
2.70	-5.14	1
2.25	4.13	1
2.16	-0.18	1
1.94	5.59	1
1.79	9.46	0
2.03	5.40	1
1.46	3.42	0
1.69	2.16	0
1.44	-3.60	0
2.47	3.10	1
2.80	3.63	1
1.81	-0.84	0
1.37	1.50	0
1.78	-5.64	0
2.15	1.57	1
2.13	0.33	1
2.20	-2.60	1
1.87	-3.86	0
2.04	3.90	1
2.25	5.59	1
1.44	2.35	0
2.03	4.56	1
2.17	10.07	1
1.83	1.84	0
1.64	4.73	0
2.09	7.31	1
1.78	0.51	0
2.24	-5.22	1
1.68	4.09	0
1.56	2.01	0
1.89	3.82	0
2.20	8.42	1
2.03	-2.11	1
1.45	6.50	0
2.04	3.67	1
1.64	1.45	0
2.22	1.56	1
1.57	4.72	0
2.44	-1.53	1
2.28	5.61	1
1.74	2.30	0
1.44	1.79	0
2.63	0.57	1
2.31	-0.11	1
2.38	2.12	1
1.79	-5.22	0
2.13	3.09	1
2.15	2.03	1
2.66	1.93	1
2.22	6.49	1
2.43	4.62	1
1.40	0.03	0
2.02	-2.26	1
2.09	3.96	1
1.85	4.35	0
1.77	-0.17	0
1.30	3.85	0
1.95	4.21	1
