feat1	feat2	target	target2	target3	3classes
23.03	122.64	0	0	0	1
33.11	166.26	0	0	0	0
35.38	294.54	0	0	1	2
33.83	250.37	0	0	1	2
27.70	200.91	1	1	0	0
35.30	120.35	0	0	1	2
34.48	248.24	0	0	1	2
30.65	184.43	1	0	0	0
27.43	99.06	0	0	0	0
30.97	150.90	1	0	0	0
31.33	220.00	1	1	0	0
29.53	304.00	1	0	1	0
36.40	184.99	0	0	1	2
28.05	232.85	1	1	0	0
28.77	210.77	1	1	0	0
31.73	234.28	0	1	1	0
24.14	276.98	0	1	0	1
29.03	166.52	1	0	0	0
23.93	271.99	0	1	0	1
27.45	163.76	0	0	0	0
26.38	228.87	0	1	0	1
31.15	103.32	0	0	0	0
32.57	167.61	0	0	0	0
33.20	179.54	0	0	0	0
26.08	203.41	0	0	0	1
30.64	177.38	1	0	0	0
35.20	232.77	0	0	1	2
29.35	158.74	1	0	0	0
30.81	277.40	1	0	1	0
35.92	257.23	0	0	1	2
31.82	207.08	0	1	0	0
25.14	170.63	0	0	0	1
28.24	135.48	1	0	0	0
25.64	208.84	0	1	0	1
34.76	158.70	0	0	1	2
24.55	221.53	0	1	0	1
28.59	130.31	1	0	0	0
30.26	272.99	1	0	1	0
27.39	192.76	1	0	0	0
36.06	208.67	0	0	1	2
30.83	144.06	1	0	0	0
22.78	187.36	0	0	0	1
30.09	119.73	1	0	0	0
29.71	215.31	1	1	0	0
33.02	224.23	0	0	0	0
24.62	182.01	0	0	0	1
22.56	147.89	0	0	0	1
23.18	254.46	0	1	0	1
35.97	159.89	0	0	1	2
31.91	130.84	0	0	0	0
27.84	241.76	1	1	0	0
38.34	172.03	0	0	1	2
37.24	239.59	0	0	1	2
27.41	172.05	0	0	0	0
30.81	157.64	1	0	0	0
23.03	247.18	0	1	0	1
23.31	233.90	0	1	0	1
34.48	173.25	0	0	0	2
26.41	207.48	0	1	0	0
28.48	203.47	1	1	0	0
28.94	266.64	1	1	1	0
29.32	179.59	1	0	0	0
28.86	273.22	1	0	1	0
27.30	323.95	1	0	0	1
24.12	229.80	0	1	0	1
33.02	223.20	0	0	0	0
34.97	273.87	0	0	1	2
27.75	42.30	0	0	0	0
24.82	111.15	0	0	0	0
26.88	225.79	0	1	0	0
29.24	260.84	1	1	1	0
30.67	126.68	0	0	0	0
29.72	212.00	1	1	0	0
27.47	228.21	1	1	0	0
27.60	135.49	0	0	0	0
29.11	159.78	1	0	0	0
33.17	183.80	0	0	0	0
33.80	278.76	0	0	1	2
36.45	137.47	0	0	1	2
33.08	300.26	0	0	1	2
27.12	106.32	0	0	0	0
31.53	198.98	0	1	0	0
27.40	219.59	1	1	0	0
31.90	140.25	0	0	0	0
32.38	247.66	0	0	1	0
29.52	241.77	1	1	1	0
22.72	171.58	0	0	0	1
28.91	78.23	0	0	0	0
30.02	204.94	1	1	0	0
35.52	247.40	0	0	1	2
33.25	190.21	0	0	0	0
35.89	192.83	0	0	1	2
33.93	147.25	0	0	0	2
33.33	140.35	0	0	0	0
23.27	131.02	0	0	0	1
31.69	223.58	0	1	0	0
26.93	184.48	0	0	0	0
31.44	171.84	0	0	0	0
33.71	183.22	0	0	0	2
25.61	129.47	0	0	0	0
25.60	173.74	0	0	0	1
32.35	268.86	0	0	1	0
25.98	246.22	0	1	0	1
23.52	242.66	0	1	0	1
22.09	144.53	0	0	0	1
35.41	198.79	0	0	1	2
24.19	216.98	0	1	0	1
36.12	215.82	0	0	1	2
30.94	199.71	1	1	0	0
26.36	282.82	0	1	0	1
31.50	69.10	0	0	0	0
39.48	249.57	0	0	1	2
36.10	157.76	0	0	1	2
28.13	159.57	1	0	0	0
33.08	338.11	0	0	1	0
25.90	242.57	0	1	0	1
28.30	205.24	1	1	0	0
37.80	185.06	0	0	1	2
23.89	124.29	0	0	0	1
25.74	259.69	0	1	0	1
24.94	156.11	0	0	0	1
33.47	192.41	0	0	0	0
34.69	226.16	0	0	1	2
30.20	197.22	1	1	0	0
29.15	83.67	0	0	0	0
32.61	199.60	0	1	0	0
24.32	106.84	0	0	0	1
27.61	101.85	0	0	0	0
32.33	306.71	0	0	1	0
32.14	123.02	0	0	0	0
27.17	148.40	0	0	0	0
33.54	214.68	0	0	0	0
34.70	202.66	0	0	1	2
29.41	164.50	1	0	0	0
28.67	235.61	1	1	0	0
34.21	124.87	0	0	0	2
33.81	82.64	0	0	0	0
31.05	226.62	1	1	1	0
30.11	134.68	1	0	0	0
28.94	188.75	1	0	0	0
26.04	245.62	0	1	0	1
25.73	175.69	0	0	0	1
35.65	172.01	0	0	1	2
35.89	177.54	0	0	1	2
23.30	276.55	0	1	0	1
30.23	200.68	1	1	0	0
32.90	240.75	0	0	1	2
34.25	131.95	0	0	0	2
24.81	243.98	0	1	0	1
30.07	164.98	1	0	0	0
32.57	265.62	0	0	1	0
28.80	255.21	1	1	1	0
36.42	112.91	0	0	1	2
31.92	144.44	0	0	0	0
33.88	184.42	0	0	0	2
36.21	223.09	0	0	1	2
32.58	240.24	0	1	1	0
27.96	216.48	1	1	0	0
36.25	143.87	0	0	1	2
34.08	248.83	0	0	1	2
32.67	153.82	0	0	0	0
32.81	197.29	0	0	0	0
30.08	249.13	1	1	1	0
25.37	245.80	0	1	0	1
27.05	275.04	1	1	0	0
28.88	182.20	1	0	0	0
34.59	205.49	0	0	1	2
24.85	158.14	0	0	0	1
34.79	231.30	0	0	1	2
30.46	222.33	1	1	0	0
31.35	225.06	1	1	1	0
29.93	287.03	1	0	1	0
30.12	235.10	1	1	1	0
38.47	219.09	0	0	1	2
26.51	130.71	0	0	0	0
31.13	243.48	1	1	1	0
26.71	221.29	0	1	0	0
29.39	218.95	1	1	0	0
34.75	106.72	0	0	1	2
36.30	218.23	0	0	1	2
36.81	180.07	0	0	1	2
32.67	222.46	0	1	0	0
34.40	142.05	0	0	0	2
32.82	177.32	0	0	0	0
29.93	191.20	1	1	0	0
33.95	369.71	1	0	1	2
31.17	290.74	1	0	1	0
37.08	110.51	0	0	1	2
29.59	252.60	1	1	1	0
29.91	203.83	1	1	0	0
28.04	197.22	1	0	0	0
33.15	111.13	0	0	0	0
26.56	220.79	0	1	0	0
32.13	251.66	0	0	1	0
31.41	130.56	0	0	0	0
32.14	215.55	0	1	0	0
26.21	196.67	0	0	0	0
27.24	176.42	0	0	0	0
28.94	252.38	1	1	1	0
29.31	247.97	1	1	1	0
22.75	271.64	0	1	0	1
29.62	235.25	1	1	1	0
30.98	168.65	1	0	0	0
35.24	205.46	0	0	1	2
27.71	138.34	0	0	0	0
35.87	110.06	0	0	1	2
30.59	193.60	1	1	0	0
30.12	157.12	1	0	0	0
34.42	315.08	0	0	1	2
27.32	244.52	1	1	0	0
21.10	265.84	0	1	0	1
27.85	103.31	0	0	0	0
34.95	169.39	0	0	1	2
25.82	229.70	0	1	0	1
21.89	197.47	0	0	0	1
34.98	287.36	0	0	1	2
24.69	168.07	0	0	0	1
30.72	347.44	1	0	1	0
36.79	310.96	0	0	1	2
26.79	209.18	0	1	0	0
33.58	165.99	0	0	0	0
31.78	178.78	0	0	0	0
30.28	139.89	1	0	0	0
31.55	244.48	1	1	1	0
26.58	199.80	0	0	0	0
30.38	173.44	1	0	0	0
25.26	318.35	0	0	0	1
26.42	212.14	0	1	0	0
26.58	250.15	0	1	0	0
23.58	160.42	0	0	0	1
31.92	190.50	0	0	0	0
27.66	249.48	1	1	0	0
24.79	158.11	0	0	0	1
22.33	202.39	0	0	0	1
37.50	205.15	0	0	1	2
34.02	192.08	0	0	0	2
35.28	240.75	0	0	1	2
25.11	338.24	1	0	0	1
32.28	267.99	0	0	1	0
24.17	135.51	0	0	0	1
30.57	139.62	1	0	0	0
30.93	143.92	0	0	0	0
32.98	229.00	0	0	0	0
29.64	219.52	1	1	0	0
31.58	144.97	0	0	0	0
30.86	280.62	1	0	1	0
30.61	166.72	1	0	0	0
30.02	177.26	1	0	0	0
34.58	169.08	0	0	1	2
25.01	249.94	0	1	0	1
27.18	200.95	0	1	0	0
25.08	358.92	0	0	0	1
27.52	176.30	1	0	0	0
27.85	133.85	0	0	0	0
30.85	112.64	0	0	0	0
24.19	165.28	0	0	0	1
31.19	235.51	1	1	1	0
24.99	104.03	0	0	0	0
28.13	98.30	0	0	0	0
30.07	163.40	1	0	0	0
35.66	131.63	0	0	1	2
26.74	149.75	0	0	0	0
31.07	101.15	0	0	0	0
22.51	156.10	0	0	0	1
24.78	272.09	0	1	0	1
25.57	215.09	0	1	0	1
29.74	300.75	1	0	1	0
32.78	165.04	0	0	0	0
30.39	152.39	1	0	0	0
27.76	186.66	1	0	0	0
36.26	315.21	0	0	1	2
23.53	140.12	0	0	0	1
33.33	158.31	0	0	0	0
33.20	252.23	0	0	1	2
22.46	222.73	0	1	0	1
32.60	289.56	0	0	1	0
27.38	155.26	0	0	0	0
25.32	239.25	0	1	0	1
27.59	293.07	1	0	0	0
37.28	273.08	0	0	1	2
28.55	199.15	1	1	0	0
33.25	234.84	0	0	1	2
31.33	234.10	1	1	1	0
31.18	373.18	1	0	1	2
29.87	240.84	1	1	1	0
27.15	209.31	0	1	0	0
28.33	187.15	1	0	0	0
25.06	209.69	0	1	0	1
28.66	190.36	1	0	0	0
24.62	170.17	0	0	0	1
27.16	185.66	0	0	0	0
30.15	189.39	1	0	0	0
25.15	203.15	0	0	0	1
35.91	240.30	0	0	1	2
28.60	213.63	1	1	0	0
34.74	173.91	0	0	1	2
27.92	272.69	1	1	0	0
27.23	141.33	0	0	0	0
33.05	210.33	0	1	0	0
24.21	196.65	0	0	0	1
30.90	296.62	1	0	1	0
